Method of Travel to Work,Greater Melbourne,Rest of Vic.,No Usual Address (Vic.),Migratory - Offshore - Shipping (Vic.),Greater Brisbane,Rest of Qld,No Usual Address (Qld),Migratory - Offshore - Shipping (Qld),Greater Adelaide,Rest of SA,No Usual Address (SA),Migratory - Offshore - Shipping (SA),Greater Perth,Rest of WA,No Usual Address (WA),Migratory - Offshore - Shipping (WA),Greater Hobart,Rest of Tas.,No Usual Address (Tas.),Migratory - Offshore - Shipping (Tas.),Greater Darwin,Rest of NT,No Usual Address (NT),Migratory - Offshore - Shipping (NT),Australian Capital Territory,No Usual Address (ACT),Migratory - Offshore - Shipping (ACT),Other Territories,No Usual Address (OT),Migratory - Offshore - Shipping (OT),Rest of NSW,No Usual Address (NSW),Migratory - Offshore - Shipping (NSW),Greater Sydney,Total
"Train, tram, taxi",207,19,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,248
"Train, tram, car as driver",3522,437,9,0,0,4,0,0,88,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,182,4263
"Train, tram, car as passenger",1456,85,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,74,1647
"Train, tram, truck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Train, tram, motorbike/scooter",22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
"Train, tram, bicycle",215,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233
"Train, tram, other",107,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,118
"Train, taxi, car as driver",89,15,0,0,32,9,0,0,7,4,0,0,23,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,19,0,0,140,344
"Train, taxi, car as passenger",54,4,0,0,32,13,0,0,6,0,0,0,16,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,115,255
"Train, taxi, truck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"Train, taxi, motorbike/scooter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
"Train, taxi, bicycle",7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14
"Train, taxi, other",42,4,0,0,19,16,0,0,8,0,0,0,11,0,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,9,0,0,59,179
"Train, car as driver, car as passenger",387,26,0,0,202,39,0,0,39,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,5,0,598,1490
